temperature,pressure,P,merit,mode,role
278.8879346,8611.644103,1,0.0006391037356,-1,dead
260.3779643,10691.20906,0,-0.000639415399,-1,dead
275.1225869,9324.492152,0,-0.001670685377,-1,dead
250.656757,5190.9729,0,-0.002471210189,-1,dead
244.9804688,9253.90625,0,-0.002633702089,-1,dead
259.6472339,10712.94249,0,-0.003283515641,-1,dead
276.1308204,9192.956196,0,-0.003877605115,-1,dead
250.9570312,10167.96875,0,-0.005626865545,-1,dead
265.5212042,10508.01742,0,-0.007268995444,-1,dead
258.6326852,5808.550064,0,-0.007419149813,-1,dead
271.6267938,9860.534692,0,-0.00774745085,-1,dead
242.9675244,8904.887154,0,-0.007927871551,-1,dead
251.0642395,10194.07713,0,-0.008058293928,-1,dead
263.4230184,10648.06263,0,-0.008974340319,-1,dead
258.6914062,5808.59375,0,-0.00942150546,-1,dead
239.1500804,6175.875257,0,-0.01005423834,-1,dead
263.7299678,6302.186216,0,-0.01047802085,-1,dead
250.9388365,5190.692527,0,-0.01212740386,-1,dead
264.6912491,10586.47833,0,-0.01233511381,-1,dead
275.3074458,7652.289401,0,-0.01344053749,-1,dead
240.929359,8494.531315,0,-0.01361362062,-1,dead
275.5664062,7683.59375,0,-0.01481422161,-1,dead
247.0590266,9659.755848,0,-0.01510427385,-1,dead
271.875,9875,0,-0.01565934303,-1,dead
239.7070312,7917.96875,0,-0.01571208766,-1,dead
274.5392005,9536.09524,0,-0.01596378475,-1,dead
252.5390625,10414.0625,0,-0.01634737425,-1,dead
239.9017448,5410.465639,0,-0.01786234046,-1,dead
249.5259147,10056.76927,0,-0.0184384216,-1,dead
264.9107461,10623.66337,0,-0.01969707744,-1,dead
266.5268864,6588.724729,0,-0.02006820684,-1,dead
239.86609,8223.16358,0,-0.02340448829,-1,dead
258.1640625,10789.0625,0,-0.02346294556,-1,dead
275.511456,9459.045655,0,-0.02406161628,-1,dead
256.761471,10744.33182,0,-0.02453710584,-1,dead
260.915555,10831.19719,0,-0.0257151032,-1,dead
265.3918297,6447.372249,0,-0.02633552498,-1,dead
257.1354446,10770.11827,0,-0.02656406934,-1,dead
280.148817,8583.401376,0,-0.02696617403,-1,dead
239.8944651,5365.514887,0,-0.0274907648,-1,dead
267.3799064,10466.39102,0,-0.02816985063,-1,dead
