temperature,pressure,P,merit,mode,role
278.8879346,8611.644103,1,0.0006392734821,-1,dead
260.3779643,10691.20906,0,-0.0006394484333,-1,dead
275.1225869,9324.492152,0,-0.0016713,-1,dead
250.656757,5190.9729,0,-0.00250867,-1,dead
244.9804688,9253.90625,0,-0.00263261,-1,dead
259.6472339,10712.94249,0,-0.003283667426,-1,dead
276.1308204,9192.956196,0,-0.003877294969,-1,dead
250.9570312,10167.96875,0,-0.00562366,-1,dead
265.5212042,10508.01742,0,-0.00726911,-1,dead
258.6326852,5808.550064,0,-0.007421394979,-1,dead
271.6267938,9860.534692,0,-0.00774767,-1,dead
242.9675244,8904.887154,0,-0.00792781,-1,dead
251.0642395,10194.07713,0,-0.008057860248,-1,dead
263.4230184,10648.06263,0,-0.00897398,-1,dead
258.6914062,5808.59375,0,-0.00940983,-1,dead
239.1500804,6175.875257,0,-0.01005119,-1,dead
263.7299678,6302.186216,0,-0.01047522246,-1,dead
250.9388365,5190.692527,0,-0.01212460737,-1,dead
264.6912491,10586.47833,0,-0.01233514781,-1,dead
275.3074458,7652.289401,0,-0.01344122,-1,dead
240.929359,8494.531315,0,-0.01361367,-1,dead
275.5664062,7683.59375,0,-0.01480337,-1,dead
247.0590266,9659.755848,0,-0.01510353285,-1,dead
271.875,9875,0,-0.01566238,-1,dead
239.7070312,7917.96875,0,-0.01569415,-1,dead
274.5392005,9536.09524,0,-0.01596450112,-1,dead
252.5390625,10414.0625,0,-0.01634753,-1,dead
239.9017448,5410.465639,0,-0.01785833,-1,dead
249.5259147,10056.76927,0,-0.01844039,-1,dead
264.9107461,10623.66337,0,-0.0196971643,-1,dead
266.5268864,6588.724729,0,-0.02005867,-1,dead
239.86609,8223.16358,0,-0.02340605,-1,dead
258.1640625,10789.0625,0,-0.02346604,-1,dead
275.511456,9459.045655,0,-0.02406304,-1,dead
256.761471,10744.33182,0,-0.02453924,-1,dead
260.915555,10831.19719,0,-0.02571517918,-1,dead
265.3918297,6447.372249,0,-0.02633502,-1,dead
257.1354446,10770.11827,0,-0.02656464,-1,dead
280.148817,8583.401376,0,-0.02696111,-1,dead
239.8944651,5365.514887,0,-0.02748822471,-1,dead
267.3799064,10466.39102,0,-0.0281717448,-1,dead
277.3593181,9202.539928,0,-0.02838468702,-1,dead
275.9626103,9409.18594,0,-0.02956287227,-1,dead
240.452529,8468.705172,0,-0.03264165114,-1,dead
254.2300063,10640.56779,0,-0.03339050427,-1,dead
248.5877243,9955.543793,0,-0.03364449961,-1,dead
255.6005989,10737.34716,0,-0.0343430319,-1,dead
251.8359375,5210.9375,0,-0.03545041,-1,dead
239.7406842,8182.166351,0,-0.0355740799,-1,dead
263.4375,10812.5,0,-0.03568791,-1,dead
267.65625,10531.25,0,-0.0378646,-1,dead
274.5117188,9722.65625,0,-0.03804226,-1,dead
251.5729743,10407.44955,0,-0.04165970375,-1,dead
239.1796875,7367.1875,0,-0.04233483,-1,dead
248.9201463,10066.32663,0,-0.04241609,-1,dead
279.7851562,8902.34375,0,-0.04533218,-1,dead
257.1064784,10876.89005,0,-0.04596057575,-1,dead
270.2729643,10305.46637,0,-0.04690394,-1,dead
269.5708756,10371.64117,0,-0.04801227,-1,dead
267.0368646,10646.81152,0,-0.04828253,-1,dead
281.3877848,8569.025896,0,-0.05162359,-1,dead
270.3075858,10338.88984,0,-0.05310849575,-1,dead
251.2171681,10414.86687,0,-0.05405438,-1,dead
239.0039062,5621.09375,0,-0.05646171,-1,dead
264.8522165,6336.053565,0,-0.05699206,-1,dead
276.9726562,9464.84375,0,-0.05820932,-1,dead
281.3671875,8679.6875,0,-0.05956231,-1,dead
270.6445312,10355.46875,0,-0.06069436,-1,dead
281.4867439,8685.220783,0,-0.06080341,-1,dead
266.0604892,10802.15307,0,-0.06120207,-1,dead
277.1484375,9523.4375,0,-0.06287986,-1,dead
272.311778,10198.99942,0,-0.06399781,-1,dead
273.118763,10071.40053,0,-0.06433646,-1,dead
272.0356675,7128.15987,0,-0.06507331,-1,dead
241.1629197,8733.045444,0,-0.06631072,-1,dead
264.7700409,6314.044223,0,-0.0674621,-1,dead
270.2361301,10450.76492,0,-0.06793753,-1,dead
242.7092625,9068.346263,0,-0.06894342329,-1,dead
267.4804688,10753.90625,0,-0.0696262,-1,dead
266.9164375,10810.83595,0,-0.07049729,-1,dead
247.497215,9942.049029,0,-0.07057012,-1,dead
273.423881,7286.945075,0,-0.07153979,-1,dead
272.5550468,10232.94567,0,-0.07253845637,-1,dead
273.8085938,7332.03125,0,-0.07388481,-1,dead
277.8515625,9476.5625,0,-0.07584659,-1,dead
252.4922741,10661.23232,0,-0.07645062,-1,dead
238.6523438,6863.28125,0,-0.07704636,-1,dead
267.7138362,10785.70583,0,-0.07726675,-1,dead
248.3203125,10132.8125,0,-0.07929888,-1,dead
257.4609375,5585.9375,0,-0.08030298,-1,dead
282.0819908,8729.489319,0,-0.08031842901,-1,dead
255.5273438,10988.28125,0,-0.08253138,-1,dead
238.482822,6310.601012,0,-0.08401024,-1,dead
240.0382671,5090.739595,0,-0.08444734043,-1,dead
271.4175669,10435.36369,0,-0.08566143,-1,dead
252.0480376,10663.3399,0,-0.08773244918,-1,dead
281.0488587,9010.310816,0,-0.09019864785,-1,dead
280.4639548,9137.700932,0,-0.09116038546,-1,dead
281.8862218,8905.16163,0,-0.0934339,-1,dead
254.4726562,10964.84375,0,-0.09443171,-1,dead
253.648666,10894.31504,0,-0.09453555,-1,dead
270.777899,10564.91842,0,-0.09475872569,-1,dead
238.3910797,6293.170533,0,-0.09476771287,-1,dead
274.8632812,10074.21875,0,-0.09478785,-1,dead
239.8828125,5070.3125,0,-0.09799165,-1,dead
268.359375,6640.625,0,-0.0999887,-1,dead
281.3010469,9117.448971,0,-0.10126047,-1,dead
282.8500725,8743.827753,0,-0.10127117,-1,dead
273.6328125,10320.3125,0,-0.10320277,-1,dead
274.1607954,7310.838222,0,-0.10362506,-1,dead
273.1029919,10383.98274,0,-0.1043954716,-1,dead
259.4813372,5725.224344,0,-0.1068581388,-1,dead
251.2063752,10655.66776,0,-0.1076992409,-1,dead
244.8595596,9636.990908,0,-0.1099939,-1,dead
249.5391262,10437.28023,0,-0.1101435839,-1,dead
281.7909431,9071.605825,0,-0.1124151,-1,dead
269.3055902,6725.85348,0,-0.1131195334,-1,dead
280.8398438,9300.78125,0,-0.11377444,-1,dead
272.6241207,10517.52256,0,-0.11681925,-1,dead
284.0039062,8621.09375,0,-0.11863798,-1,dead
278.5834041,7833.5351,0,-0.12071621,-1,dead
279.3737086,9600.377622,0,-0.1215503866,-1,dead
238.125,6125,0,-0.12296683,-1,dead
281.7595182,9217.420991,0,-0.12433041,-1,dead
251.484375,10765.625,0,-0.12466718,-1,dead
264.84375,6218.75,0,-0.12513993,-1,dead
238.1422211,5873.430817,0,-0.12678713,-1,dead
282.421875,9078.125,0,-0.12750159,-1,dead
238.5128848,7275.974387,0,-0.1297059697,-1,dead
270.5160366,10868.46515,0,-0.12988039,-1,dead
247.1086355,10127.29332,0,-0.13170962,-1,dead
270.1171875,10929.6875,0,-0.13194355,-1,dead
283.7572582,8863.273319,0,-0.13615767,-1,dead
240.7538137,8890.399626,0,-0.13763395,-1,dead
249.9023438,10613.28125,0,-0.13805462,-1,dead
270.6986596,6830.940613,0,-0.13890701,-1,dead
271.4311567,10826.77247,0,-0.14241858,-1,dead
238.0134453,6467.659551,0,-0.14333689,-1,dead
240.103657,8758.472855,0,-0.14541471,-1,dead
276.4453125,7507.8125,0,-0.14734544,-1,dead
259.8761622,5700.055693,0,-0.1474668297,-1,dead
283.125,9125,0,-0.14751806,-1,dead
260.3012177,5737.619896,0,-0.1496577089,-1,dead
280.3125,9687.5,0,-0.15032995,-1,dead
261.6796875,5867.1875,0,-0.15066787,-1,dead
245.6835938,9957.03125,0,-0.15174395,-1,dead
247.8170013,10338.66952,0,-0.15571747,-1,dead
241.079681,9001.124177,0,-0.15574528,-1,dead
280.2917819,9786.195017,0,-0.15668485,-1,dead
244.453125,9734.375,0,-0.15937078,-1,dead
282.5475897,9423.719238,0,-0.16209528,-1,dead
282.8028006,9373.164831,0,-0.16715752,-1,dead
275.5541048,10535.85892,0,-0.16738859,-1,dead
272.7539062,10871.09375,0,-0.16908496,-1,dead
237.792529,6299.884082,0,-0.1693293248,-1,dead
278.9543223,10055.6163,0,-0.16998723,-1,dead
278.4230849,10169.9886,0,-0.17106896,-1,dead
280.6344366,9845.283405,0,-0.17118705,-1,dead
249.1992188,10660.15625,0,-0.17324108,-1,dead
240.5859375,8960.9375,0,-0.17347255,-1,dead
278.0415902,10246.34205,0,-0.17470154,-1,dead
237.7129437,6136.407299,0,-0.17506197,-1,dead
271.3476562,6839.84375,0,-0.1768143,-1,dead
281.3391562,9744.287734,0,-0.17732552,-1,dead
237.9492188,6910.15625,0,-0.18013991,-1,dead
276.04696,10591.09866,0,-0.18154977,-1,dead
276.6210938,10519.53125,0,-0.18155178,-1,dead
276.5222444,10526.62494,0,-0.18164606,-1,dead
275.390625,10671.875,0,-0.18267594,-1,dead
244.9903403,9952.252417,0,-0.1847843726,-1,dead
241.0830476,9148.179705,0,-0.19124422,-1,dead
266.8974147,6326.246593,0,-0.19140866,-1,dead
279.9609375,10085.9375,0,-0.19213438,-1,dead
285.7617188,8972.65625,0,-0.19352477,-1,dead
281.8945312,8105.46875,0,-0.19574946,-1,dead
275.9828587,7349.002459,0,-0.19952814,-1,dead
276.0677021,7337.270179,0,-0.2060706417,-1,dead
237.421875,6078.125,0,-0.20797048,-1,dead
283.3539343,9640.767074,0,-0.20836546,-1,dead
271.770637,6826.866088,0,-0.20865589,-1,dead
264.6679688,6066.40625,0,-0.20970821,-1,dead
278.203125,10484.375,0,-0.21008272,-1,dead
237.6653808,6782.228094,0,-0.210477,-1,dead
281.2999966,7981.110849,0,-0.2163618388,-1,dead
275.5521323,10904.79061,0,-0.21968739,-1,dead
237.7892413,5213.310509,0,-0.2219726774,-1,dead
275.1976866,7194.450424,0,-0.2255331063,-1,dead
279.2578125,7695.3125,0,-0.22857699,-1,dead
282.9492188,9910.15625,0,-0.22929412,-1,dead
286.1132812,9324.21875,0,-0.23259518,-1,dead
246.5625,10437.5,0,-0.23486467,-1,dead
283.6523438,9863.28125,0,-0.23601152,-1,dead
238.828125,8609.375,0,-0.23731595,-1,dead
281.1914062,10308.59375,0,-0.23796873,-1,dead
280.8328439,10362.55563,0,-0.2399773053,-1,dead
280.0319259,7762.219689,0,-0.2406659,-1,dead
241.6061001,9425.828002,0,-0.2461719948,-1,dead
274.0884237,7023.707243,0,-0.24832131,-1,dead
279.0790969,10694.71635,0,-0.24855141,-1,dead
285.1077835,9721.150562,0,-0.2488477012,-1,dead
240.9375,9312.5,0,-0.25207965,-1,dead
241.1148006,9363.425854,0,-0.25626866,-1,dead
248.461881,10891.47806,0,-0.25708067,-1,dead
238.8451553,8805.415402,0,-0.25849411,-1,dead
259.2641655,5485.037336,0,-0.2588329335,-1,dead
283.5985697,10085.65336,0,-0.2590368511,-1,dead
286.1647332,9579.803489,0,-0.25939667,-1,dead
279.0284986,7599.783664,0,-0.26116542,-1,dead
279.4335938,10707.03125,0,-0.26201825,-1,dead
280.5788278,10559.36197,0,-0.2625268448,-1,dead
256.799475,5268.827797,0,-0.26274284,-1,dead
236.9955666,5557.062566,0,-0.2653058286,-1,dead
274.6875,7062.5,0,-0.26614044,-1,dead
237.3680812,5170.870169,0,-0.2666542889,-1,dead
278.3789062,7496.09375,0,-0.26985371,-1,dead
285.862206,8483.185838,0,-0.27116832,-1,dead
